"race","outcome","V1","V2","V3"
1,"AA",109.337039462438,110.317835104251,110.005275284725
1,"AFF",324.699232685106,280.352756432679,296.340869215717
1,"APCA",42.293029926758,53.7079534775586,76.7075254641883
1,"BC",1141.34261010435,946.880449949205,1051.61468265897
1,"CC",7844.91003008073,7025.14366728019,7206.77451704458
1,"CM",198.933361391639,214.412081747032,185.045548311844
1,"DIAB",1745.85749196942,1935.90800663624,1874.87161767817
1,"ECA",187.967052474558,220.817229013348,174.330640222308
1,"ENDO",25.7099949943116,24.7516820021388,23.0072382077546
1,"GC",26.5523750425851,26.6941229360604,28.203771402533
1,"HHD",1251.58862371425,1025.74371606413,876.978262341904
1,"HSTK",1719.36319856421,1672.95407613725,1696.668851353
1,"IHD",9084.81889844353,8258.72853585018,8786.26100992159
1,"ISTK",1835.37007920369,1915.57760581515,1745.61491152538
1,"KC",681.678786555927,706.22445105008,706.549158318023
1,"LC",0,0,0
1,"LVC",329.804246182629,276.86405173402,315.36458586358
1,"MLPC",1889.37219273647,1988.89554056542,1915.45629778489
1,"MMC",78.2545704653248,66.5078574410111,74.9586149751688
1,"OC",39.6762927976047,40.8588668397175,34.4689925594475
1,"OSTK",3335.37757644612,3707.81722348234,3191.62261104009
1,"OTH",371.774159567039,546.852425332662,413.449477144085
1,"PC",207.598307191406,247.128305453428,201.365787612016
1,"PVD",79.3286932315338,77.4146314052846,77.9371587346773
1,"RHD",37.0943146229086,37.7416442133914,37.2316614055906
1,"SCC",86.7180726843517,68.1086079761004,94.5862808655326
1,"SCNC",0,0,0
1,"TC",107.686789371868,105.667715595926,136.904090379535
1,"UC",1083.94713588647,974.78891328399,1135.89587617622
2,"AA",21.3251702425742,21.0835851251588,22.641691894354
2,"AFF",19.4372768245232,13.6547113328091,19.3416686876553
2,"APCA",24.0386293649232,32.3301455726199,18.2836625137562
2,"BC",147.451549079369,166.297188886731,128.722770202483
2,"CC",1681.59237548791,1690.75097399316,1840.96918046229
2,"CM",72.0866557897615,69.228117624354,58.8985691161307
2,"DIAB",496.083818841521,476.115781912359,455.958588601977
2,"ECA",4.74180736366504,5.84499710863331,5.94661951315799
2,"ENDO",4.32846939541744,3.61223080431406,3.55600896862384
2,"GC",6.22519596709852,5.81165556614114,5.70608110652305
2,"HHD",300.986551250289,256.101607627712,282.003185303003
2,"HSTK",391.097755203678,401.598657361294,430.641983492353
2,"IHD",1153.55971121285,1185.09872916016,1524.13415551683
2,"ISTK",321.309701937894,338.07204479874,403.16140927279
2,"KC",74.4713062691975,104.15900767318,96.3579538280787
2,"LC",0,0,0
2,"LVC",53.8148659748556,50.174167166492,51.2442911239202
2,"MLPC",175.397928571082,234.160458264207,192.898320929101
2,"MMC",24.3198883996297,33.2148321568788,18.326029490568
2,"OC",7.18872674933639,6.80934888686091,6.52294363065033
2,"OSTK",523.771096665023,601.988068161325,671.72202408615
2,"OTH",65.6923911656828,67.4358889632986,59.7373739607518
2,"PC",20.0072725101163,21.8276309366858,30.2462279300911
2,"PVD",13.7943445318799,13.6474181910132,17.0091139460565
2,"RHD",6.4586028356425,5.82861258324314,4.38062725115986
2,"SCC",5.99798912242146,4.96202983843978,4.56097359200431
2,"SCNC",0,0,0
2,"TC",10.9141452985212,9.11900569233714,12.9023763854764
2,"UC",179.123503609749,143.422122369648,158.362279546922
3,"AA",7.23461256043232,7.92752396808549,6.22881731337998
3,"AFF",11.1697716063806,10.660311428694,10.350314091374
3,"APCA",15.0664608069623,9.46943852956244,10.226039421557
3,"BC",74.0111939235157,84.5689106271276,116.143304327588
3,"CC",1086.44979200002,1111.12805433445,1110.53670743871
3,"CM",23.4322943008073,21.0566118365706,17.2459527133551
3,"DIAB",227.60845146041,225.728679157168,227.726771804569
3,"ECA",12.1097824735815,8.38975978994867,10.2824222871491
3,"ENDO",2.11682023369089,2.35059077836043,2.10991591623643
3,"GC",5.44785634483068,6.59374651673388,6.89109965488348
3,"HHD",86.8155711258088,98.4843614708502,89.5831680501447
3,"HSTK",179.939333553213,194.625655219895,245.848019816262
3,"IHD",679.58962293548,596.506088926651,529.862329738146
3,"ISTK",166.767972374938,223.543897764307,190.979748522119
3,"KC",92.4872163947049,68.6879602123315,72.707380475245
3,"LC",0,0,0
3,"LVC",57.4448343319522,65.7783220671177,59.4067339428506
3,"MLPC",99.2735912655218,122.19169176045,123.81972332223
3,"MMC",11.096001992325,6.90664667491812,7.34467219339457
3,"OC",6.56524868267664,4.43445661392942,8.86875236825127
3,"OSTK",189.049238672667,214.800205204776,218.694537694506
3,"OTH",24.4428416714506,30.9775404453435,26.0219436920061
3,"PC",17.8291576206039,18.6499737786749,14.7029410867518
3,"PVD",6.4349507152045,5.72108024666225,6.02316167910774
3,"RHD",2.77340990104197,3.65284937774612,3.56295170056954
3,"SCC",4.23548168461802,5.02524915933673,6.16787270344319
3,"SCNC",0,0,0
3,"TC",22.3364705955262,13.971338135997,12.8648480571661
3,"UC",109.195517911367,132.006776497373,93.6781315730401
4,"AA",4.59023365548931,5.90374862537998,5.17886460809879
4,"AFF",6.22871621747131,7.74346543572074,7.4596480198358
4,"APCA",6.94225649960866,6.20368865734744,12.2652501817955
4,"BC",104.906960782396,76.4822908447828,71.6356887436779
4,"CC",1094.16001041497,1021.44265124261,1133.95333267963
4,"CM",8.76850120460427,11.8330466242639,8.96289298081409
4,"DIAB",104.558271398547,107.859050378446,88.4888426378165
4,"ECA",3.25275139828948,4.28703487168654,4.10339327543894
4,"ENDO",1.60781734754014,1.91912810926003,1.67819384787884
4,"GC",5.18706811607196,3.32111363072205,4.09739248478511
4,"HHD",30.0307640687677,31.8230452138804,31.7232597098998
4,"HSTK",119.869955454611,134.312486063457,139.957459064541
4,"IHD",291.211090215485,327.958126333775,351.196370877227
4,"ISTK",71.6350539789625,81.7464346642559,91.3017705673276
4,"KC",37.1183382452806,36.902011915538,41.2808151946592
4,"LC",0,0,0
4,"LVC",37.0863551109256,46.0882670434982,50.6141828002996
4,"MLPC",145.908458128918,129.042764025902,143.054899830049
4,"MMC",4.02894076247835,4.70590083807134,4.58353423654078
4,"OC",5.02153782496155,6.37530973923783,5.74346904453467
4,"OSTK",113.800877602309,137.090033589297,155.447975381134
4,"OTH",12.655461214302,11.3562375625922,13.8614548420278
4,"PC",11.3957271368318,12.2153317618802,13.7087582284252
4,"PVD",1.69981771184154,2.19702859129378,2.30176828552983
4,"RHD",1.62541491009983,1.87474345871211,2.08530106131151
4,"SCC",3.58067592588024,4.74815485323481,4.0686676105694
4,"SCNC",0,0,0
4,"TC",12.2305382283407,14.6860085043626,15.6080107972581
4,"UC",100.031275856886,100.555744439743,113.064521287873
